date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:08:46	20120/20120	---M-Z	200	added ('OK')	application/octet-stream	etag:%2267b75e4d-4e98%22	http://cdn2.editmysite.com/fonts/Arimo/bolditalic.ttf	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/fonts/Arimo/bolditalic.ttf	(from http://cdn2.editmysite.com/fonts/Arimo/font.css?2)
14:08:46	14862/14862	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2267b4b0fa-3a0e%22	http://cdn2.editmysite.com/fonts/Patua_One/regular.eot	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/fonts/Patua_One/regular.eot	(from http://cdn2.editmysite.com/fonts/Patua_One/font.css?2)
14:08:47	12876/12876	---M--	200	added ('OK')	font/woff2	etag:%2267b4b0fa-324c%22	http://cdn2.editmysite.com/fonts/Patua_One/regular.woff2	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/fonts/Patua_One/regular.woff2	(from http://cdn2.editmysite.com/fonts/Patua_One/font.css?2)
14:08:48	14862/14862	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2267a5307b-3a0e%22	http://cdn2.editmysite.com/fonts/Patua_One/regular.eot?	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/fonts/Patua_One/regulard41d.eot	(from http://cdn2.editmysite.com/fonts/Patua_One/font.css?2)
14:08:49	17072/17072	---M--	200	added ('OK')	font/woff	etag:%2267a5307b-42b0%22	http://cdn2.editmysite.com/fonts/Patua_One/regular.woff	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/fonts/Patua_One/regular.woff	(from http://cdn2.editmysite.com/fonts/Patua_One/font.css?2)
14:08:49	30960/30960	---M-Z	200	added ('OK')	application/octet-stream	etag:%2267a5307b-78f0%22	http://cdn2.editmysite.com/fonts/Patua_One/regular.ttf	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/fonts/Patua_One/regular.ttf	(from http://cdn2.editmysite.com/fonts/Patua_One/font.css?2)
14:08:50	20528/20528	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2267b75e4c-5030%22	http://cdn2.editmysite.com/fonts/Alfa_Slab_One/regular.eot	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/fonts/Alfa_Slab_One/regular.eot	(from http://cdn2.editmysite.com/fonts/Alfa_Slab_One/font.css?2)
14:08:51	17896/17896	---M--	200	added ('OK')	font/woff2	etag:%2267a5307a-45e8%22	http://cdn2.editmysite.com/fonts/Alfa_Slab_One/regular.woff2	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/fonts/Alfa_Slab_One/regular.woff2	(from http://cdn2.editmysite.com/fonts/Alfa_Slab_One/font.css?2)
14:08:52	20528/20528	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2267b75e4c-5030%22	http://cdn2.editmysite.com/fonts/Alfa_Slab_One/regular.eot?	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/fonts/Alfa_Slab_One/regulard41d.eot	(from http://cdn2.editmysite.com/fonts/Alfa_Slab_One/font.css?2)
14:08:53	22312/22312	---M--	200	added ('OK')	font/woff	etag:%2267b4b0f9-5728%22	http://cdn2.editmysite.com/fonts/Alfa_Slab_One/regular.woff	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/fonts/Alfa_Slab_One/regular.woff	(from http://cdn2.editmysite.com/fonts/Alfa_Slab_One/font.css?2)
